SA2 Code 2018,SA2 2018,DHB of residence,Population,At least partially vaccinated,Fully vaccinated,Partially vaccinated uptake,Fully vaccinated uptake,SA22018_name,VaccPlanName,Booster vaccinated,Booster vaccinated uptake
Unknown,Unknown,Unknown,"66,039",Masked,Masked,>950,>950,,,Masked,
168100,Tairua,Waikato,"1,342","1,197","1,162",892,866,,,Masked,
168200,Pauanui,Waikato,867,796,781,918,901,,,Masked,
168300,Matatoki-Puriri,Waikato,967,811,770,839,796,,,Masked,
168400,Whangamata Rural,Waikato,403,350,340,868,844,,,Masked,
168500,Whangamata,Waikato,"3,649","3,333","3,256",913,892,,,Masked,
168600,Miranda-Pukorokoro,Counties Manukau,794,723,703,911,885,,,Masked,
168700,Hauraki Plains North,Waikato,991,878,858,886,866,,,Masked,
168800,Hauraki Plains East,Waikato,"1,142","1,017",979,891,857,,,Masked,
168900,Ngatea,Waikato,"1,267","1,196","1,174",944,927,,,Masked,
169000,Hauraki Plains South,Waikato,"1,205","1,015",976,842,810,,,Masked,
169100,Paeroa Rural,Waikato,"1,673","1,398","1,335",836,798,Paeroa Rural,Pfizer Booster Plan,Masked,333.3333333333333
169200,Paeroa,Waikato,"3,948","3,532","3,381",895,856,,,Masked,
169300,Waihi Rural,Waikato,"1,960","1,631","1,584",832,808,,,Masked,
169400,Waihi North,Waikato,"1,635","1,380","1,325",844,810,,,Masked,
169500,Waihi East,Waikato,"1,242","1,050","1,006",845,810,,,Masked,
169600,Waihi South,Waikato,"2,031","1,745","1,677",859,826,,,Masked,
169700,Aka Aka,Counties Manukau,"2,585","2,409","2,375",932,919,,,Masked,
169800,Mangatangi,Counties Manukau,859,Masked,804,>950,936,,,Masked,
169900,Tuakau Rural,Counties Manukau,"1,371","1,289","1,273",940,929,,,Masked,
170000,Tuakau North,Counties Manukau,"2,600",Masked,"2,409",>950,927,,,Masked,
170100,Onewhero,Counties Manukau,"1,325","1,204","1,174",909,886,,,Masked,
170200,Pokeno Rural,Counties Manukau,"1,455","1,360","1,330",935,914,,,Masked,
170300,Tuakau South,Counties Manukau,"1,577",Masked,"1,479",>950,938,,,Masked,
170400,Port Waikato-Waikaretu,Counties Manukau,634,569,555,897,875,,,Masked,
170500,Pokeno,Counties Manukau,"3,641",Masked,Masked,>950,>950,,,Masked,
170600,Pukekawa,Counties Manukau,"1,327","1,237","1,217",932,917,,,Masked,
170700,Maramarua,Waikato,"1,390","1,262","1,211",908,871,,,Masked,
170800,Rangiriri,Waikato,"1,462","1,307","1,283",894,878,,,Masked,
170900,Te Akau,Counties Manukau,277,248,244,895,881,,,Masked,
170900,Te Akau,Waikato,"1,369","1,243","1,211",908,885,,,Masked,
171100,Te Kauwhata,Waikato,"1,417","1,293","1,242",912,876,,,Masked,
171200,Huntly Rural,Waikato,"1,868","1,681","1,611",900,862,,,Masked,
171300,Waerenga,Waikato,752,654,634,870,843,,,Masked,
171400,Huntly West,Waikato,"2,449","2,090","1,965",853,802,,,Masked,
171500,Huntly East,Waikato,"4,130","3,801","3,675",920,890,,,Masked,
171600,Raglan,Waikato,"3,064","2,633","2,548",859,832,,,Masked,
171700,Whitikahu,Waikato,"1,583","1,502","1,469",949,928,,,Masked,
171800,Te Uku,Waikato,"2,342","1,998","1,930",853,824,,,Masked,
171900,Taupiri-Lake Kainui,Waikato,"2,084","1,895","1,831",909,879,,,Masked,
172000,Ngaruawahia North,Waikato,"1,415","1,280","1,219",905,861,,,Masked,
172100,Ngaruawahia Central,Waikato,"2,508","2,249","2,143",897,854,,,Masked,
172200,Ngaruawahia South,Waikato,"1,519","1,390","1,323",915,871,,,Masked,
172300,Kainui-Gordonton,Waikato,"1,399","1,329","1,302",950,931,,,Masked,
172400,Te Kowhai,Waikato,"1,737",Masked,"1,633",>950,940,,,Masked,
172500,Whatawhata West,Waikato,378,340,332,899,878,,,Masked,
172600,Horotiu,Waikato,503,456,429,907,853,,,Masked,
172700,Horsham Downs,Waikato,649,603,595,929,917,,,Masked,
172800,Whatawhata East,Waikato,"2,413","2,275","2,206",943,914,,,Masked,
172900,Rotokauri ,Waikato,869,817,800,940,921,,,Masked,
173000,Hamilton Park,Waikato,"1,319","1,232","1,216",934,922,,,Masked,
173100,Eureka-Tauwhare,Waikato,"1,713",Masked,"1,605",>950,937,,,Masked,
173200,Tamahere North,Waikato,"3,893",Masked,"3,669",>950,942,,,Masked,
173300,Pukemoremore,Waikato,"2,078",Masked,"1,975",>950,950,,,Masked,
173400,Tamahere South,Waikato,"1,842",Masked,"1,748",>950,949,,,Masked,
173500,Tahuna-Mangateparu,Waikato,"1,270","1,149","1,115",905,878,,,Masked,
173600,Mangaiti,Waikato,"1,058",937,897,886,848,,,Masked,
173700,Tatuanui,Waikato,"1,096","1,026",997,936,910,,,Masked,
173800,Tahuroa,Waikato,"1,472","1,391","1,360",945,924,,,Masked,
173900,Morrinsville East,Waikato,"4,334",Masked,"4,043",>950,933,,,Masked,
174000,Morrinsville West,Waikato,"2,517","2,332","2,258",926,897,,,Masked,
174100,Te Aroha East,Waikato,"2,230","1,924","1,819",863,816,,,Masked,
174200,Te Aroha West,Waikato,"1,763","1,617","1,579",917,896,,,Masked,
174300,Waihou-Manawaru,Waikato,977,854,820,874,839,,,Masked,
174400,Waitoa-Ngarua,Waikato,926,870,848,940,916,,,Masked,
174500,Richmond Downs-Wardville,Waikato,997,903,880,906,883,,,Masked,
174600,Waharoa-Peria,Waikato,"1,305","1,192","1,131",913,867,,,Masked,
174700,Okauia,Waikato,835,764,736,915,881,,,Masked,
174800,Hinuera,Waikato,"1,023",963,933,941,912,,,Masked,
174900,Matamata North,Waikato,"2,826","2,614","2,527",925,894,,,Masked,
175000,Matamata South,Waikato,"4,597","4,254","4,141",925,901,,,Masked,
175100,Te Poi,Waikato,676,601,582,889,861,,,Masked,
175200,Te Rapa North,Waikato,140,125,124,893,886,,,Masked,
175300,Flagstaff North,Waikato,"3,382",Masked,Masked,>950,>950,,,Masked,
175400,Rotokauri-Waiwhakareke,Waikato,710,Masked,Masked,>950,>950,,,Masked,
175500,Flagstaff South,Waikato,"2,877",Masked,Masked,>950,>950,,,Masked,
175600,Rototuna North,Waikato,"1,588",Masked,Masked,>950,>950,,,Masked,
175700,Pukete West,Waikato,"1,757",Masked,"1,647",>950,937,,,Masked,
175800,Flagstaff East,Waikato,"3,381",Masked,Masked,>950,>950,,,Masked,
175900,Rototuna Central,Waikato,"4,057",Masked,Masked,>950,>950,,,Masked,
176000,Pukete East,Waikato,"1,981",Masked,Masked,>950,>950,,,Masked,
176100,Te Manatu,Waikato,"3,235",Masked,Masked,>950,>950,,,Masked,
176200,Rototuna South,Waikato,"3,827",Masked,Masked,>950,>950,,,Masked,
176300,Te Rapa South,Waikato,228,Masked,211,>950,925,,,Masked,
176400,Saint Andrews West,Waikato,"2,457","2,275","2,179",926,887,,,Masked,
176500,Saint Andrews East,Waikato,"2,251","2,139","2,095",950,931,,,Masked,
176600,Queenwood (Hamilton City),Waikato,"2,079",Masked,Masked,>950,>950,Queenwood (Hamilton City),Pfizer Booster Plan,Masked,1000.0
176700,St James,Waikato,"1,667",Masked,Masked,>950,>950,,,Masked,
176800,Crawshaw,Waikato,"2,442","2,224","2,083",911,853,,,Masked,
176900,Huntington,Waikato,"2,238",Masked,Masked,>950,>950,,,Masked,
177000,Western Heights (Hamilton City),Waikato,"2,620",Masked,Masked,>950,>950,,,Masked,
177100,Nawton West,Waikato,"3,088",Masked,"2,861",>950,926,Nawton West,Pfizer Booster Plan,Masked,200.0
177200,Nawton East,Waikato,"3,433","3,199","3,075",932,896,,,Masked,
177300,Chartwell,Waikato,"2,113","1,969","1,896",932,897,,,Masked,
177400,Forest Lake (Hamilton City),Waikato,"2,134","2,005","1,956",940,917,,,Masked,
177500,Chedworth,Waikato,"1,560","1,479","1,448",948,928,,,Masked,
177600,Beerescourt,Waikato,"2,034","1,926","1,899",947,934,,,Masked,
177700,Miropiko,Waikato,"2,764",Masked,"2,608",>950,944,,,Masked,
177800,Porritt,Waikato,"2,123","1,977","1,902",931,896,,,Masked,
177900,Dinsdale North,Waikato,"3,634",Masked,"3,371",>950,928,,,Masked,
178000,Maeroa,Waikato,"3,153","2,979","2,883",945,914,,,Masked,
178100,Dinsdale South,Waikato,"3,376","3,194","3,097",946,917,,,Masked,
178200,Fairfield (Hamilton City),Waikato,"3,651","3,290","3,120",901,855,,,Masked,
178300,Whitiora,Waikato,"2,328",Masked,Masked,>950,>950,,,Masked,
178400,Enderley North,Waikato,"1,973","1,745","1,628",884,825,,,Masked,
178500,Fairview Downs,Waikato,"2,756",Masked,"2,590",>950,940,,,Masked,
178600,Temple View,Waikato,"1,048",934,906,891,865,,,Masked,
178700,Swarbrick,Waikato,"2,101",Masked,"1,968",>950,937,,,Masked,
