SA2 Code 2018,SA2 2018,DHB of residence,Ethnicity,Population,At least partially vaccinated,Fully vaccinated,Partially vaccinated uptake,Fully vaccinated uptake,SA22018_name,VaccPlanName,Booster vaccinated,Booster vaccinated uptake
117600,Oteha East,Waitemata,Maori,73,69,68,945,932,,,Masked,
117600,Oteha East,Waitemata,Pacific Peoples,49,37,37,755,755,,,Masked,
117700,Northcross,Waitemata,Maori,101,Masked,Masked,>950,>950,,,Masked,
117900,Waiake,Waitemata,Maori,124,112,108,903,871,,,Masked,
117900,Waiake,Waitemata,Pacific Peoples,49,Masked,45,>950,918,,,Masked,
118000,Waitakere,Waitemata,Maori,177,159,152,898,859,,,Masked,
118000,Waitakere,Waitemata,Pacific Peoples,71,66,65,930,915,,,Masked,
118100,Albany South,Waitemata,Maori,95,90,86,947,905,,,Masked,
118100,Albany South,Waitemata,Pacific Peoples,40,Masked,Masked,>950,>950,,,Masked,
118200,Browns Bay South West,Waitemata,Maori,133,120,116,902,872,,,Masked,
118300,Browns Bay Central,Waitemata,Maori,95,Masked,Masked,>950,>950,,,Masked,
118400,Schnapper Rock,Waitemata,Maori,89,84,83,944,933,,,Masked,
118500,Pinehill ,Waitemata,Maori,69,60,59,870,855,,,Masked,
118600,North Harbour,Waitemata,Maori,76,59,54,776,711,,,Masked,
118700,Browns Bay South East,Waitemata,Maori,81,72,69,889,852,,,Masked,
118900,Greenhithe West,Waitemata,Maori,116,105,104,905,897,,,Masked,
118900,Greenhithe West,Waitemata,Pacific Peoples,40,38,38,950,950,,,Masked,
119000,Rothesay Bay,Waitemata,Maori,55,Masked,Masked,>950,>950,,,Masked,
119100,Greenhithe East,Waitemata,Maori,93,83,83,892,892,,,Masked,
119100,Greenhithe East,Waitemata,Pacific Peoples,40,38,38,950,950,,,Masked,
119200,Hobsonville,Waitemata,Maori,61.0,Masked,Masked,>950,>950,,,Masked,
119200,Hobsonville,Waitemata,Pacific Peoples,59.0,53,53,898,898,,,Masked,
119400,Greenhithe South,Waitemata,Maori,69,Masked,Masked,>950,>950,,,Masked,
119500,Murrays Bay West,Waitemata,Maori,73,Masked,Masked,>950,>950,,,Masked,
119600,Westgate South,Waitemata,Maori,249,216,206,867,827,,,Masked,
